*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 129     4     3     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 130     5     4     0.6     0.0     0.6    0.00    3.41      0.2     0.0     0.5     0.1    3.84    2.40     0.0    1.6    0.0    0.00    0.01
 2015 131     6     5     0.7     0.0     0.7    0.00    3.43      0.2     0.1     0.5     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.03
 2015 132     7     6     0.8     0.0     0.8    0.00    3.46      0.2     0.1     0.6     0.1    3.85    2.41     0.0    1.6    0.0    0.00    0.04
 2015 133     8     7     0.9     0.0     0.9    0.00    3.48      0.2     0.3     0.7     0.2    3.85    2.41     0.0    1.6    0.0    0.00    0.05
 2015 134     9     8     1.0     0.0     1.0    0.00    3.50      0.2     0.4     0.8     0.2    3.85    2.42     0.0    1.6    0.0    0.00    0.06
 2015 135    10     9     1.1     0.0     1.1    0.00    3.47      0.3     0.5     0.9     0.2    3.82    2.39     0.0    1.6    0.0    0.00    0.07
 2015 136    11    10     1.2     0.0     1.2    0.00    3.47      0.3     0.6     1.0     0.2    3.84    2.41     0.0    1.6    0.0    0.00    0.08
 2015 137    12    11     1.4     0.0     1.4    0.00    3.45      0.3     0.8     1.1     0.3    3.84    2.41     0.0    1.6    0.0    0.00    0.09
 2015 138    13    12     1.7     0.0     1.7    0.00    3.47      0.3     1.1     1.4     0.3    3.84    2.42     0.0    1.6    0.0    0.00    0.10
 2015 139    14    13     2.0     0.0     2.0    0.00    3.45      0.4     1.3     1.6     0.3    3.81    2.39     0.0    1.6    0.1    0.01    0.11
 2015 140    15    14     2.3     0.0     2.3    0.00    3.44      0.4     1.6     1.9     0.4    3.79    2.37     0.0    1.6    0.1    0.01    0.12
 2015 141    16    15     2.8     0.0     2.8    0.00    3.49      0.4     2.1     2.3     0.5    3.84    2.40     0.0    1.6    0.0    0.01    0.13
 2015 142    17    16     3.1     0.0     3.1    0.00    3.29      0.7     2.2     2.6     0.5    3.61    2.27     0.0    1.5    0.2    0.02    0.14
 2015 143    18    17     3.6     0.0     3.6    0.00    3.30      0.8     2.6     3.1     0.6    3.62    2.27     0.0    1.5    0.2    0.03    0.14
