*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2015 168    43    42   1429 14.3923  0.5817  6.2969  2.6118  1.4695 2.25583 13.519 27.875 26.219 21.921  0.0000  0.0000  0.0000
 2015 169    44    43   1497 15.6793  0.6628  6.6579  3.2494  1.5644 1.83577 13.751 28.209 26.223 21.753  3.6382  2.9603 64.8008
 2015 170    45    44   1576 15.6330  0.7154  8.9932  2.4693  1.4797 2.00891 14.178 28.716 24.951 20.894  3.6200  2.9293 64.9459
 2015 171    46    45   1645 14.1902  0.7089  7.7794  2.7723  1.2129 1.01875 14.198 28.650 23.346 18.739  3.5886  2.8294 65.2419
 2015 172    47    46   1719 15.1267  0.7792  8.1930  3.3975  1.3050 0.44401 13.973 28.227 22.489 19.223  3.5802  2.8096 65.3141
 2015 173    48    47   1787 14.6465  0.8094  8.6665  3.2153  1.3314 0.10794 13.774 27.702 23.684 19.146  3.5758  2.7981 65.3530
 2015 174    49    48   1871 15.5248  0.0000  7.7869  2.2048  1.4954 2.68714 14.883 30.148 24.070 20.048  3.5798  2.8155 65.3107
 2015 175    50    49   1929 13.6695  0.9568  8.7556  2.8156  1.3528 0.00000 14.786 29.586 23.703 19.200  3.5773  2.8078 65.3340
 2015 176    51    50   1991 14.6944  0.9672  9.3688  3.0515  1.4254 0.00000 14.685 29.007 24.137 19.152  3.5755  2.8022 65.3507
 2015 177    52    51   2054 13.3126  0.3794  8.5075  2.4965  1.2807 0.21376 14.881 29.047 22.947 18.340  3.5714  2.7835 65.3952
 2015 178    53    52   2111 13.1018  0.9548  8.5770  2.7203  1.2275 0.00000 14.768 28.458 22.262 17.861  3.5674  2.7628 65.4413
 2015 179    54    53   2166 12.8008  0.9611  8.4448  2.6392  1.2438 0.00000 14.645 27.852 22.777 17.860  3.5644  2.7475 65.4753
 2015 180    55    54   2226 13.7469  1.0146  9.1446  2.7957  1.4294 0.00000 14.518 27.202 23.711 19.034  3.5644  2.7496 65.4727
 2015 181    56    55   2292 13.3569  0.0000  8.1912  2.2163  1.4343 0.54115 15.022 27.856 23.979 19.060  3.5645  2.7516 65.4700
 2015 182    57    56   2345 13.1268  1.1018  8.5407  2.6238  1.5669 0.08279 14.885 27.181 25.518 19.946  3.5665  2.7603 65.4489
 2015 183    58    57   2402 13.2331  1.1171  9.0328  2.5939  1.6107 0.00000 14.722 26.431 25.262 20.308  3.5696  2.7724 65.4176
