*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                              NO3 (ppm) at soil dep. (cm):                                            NH4 (ppm) at soil dep. (cm):                                            Total Inorganic N @dep(ppm):
!                                                                                                                              0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    
 2015 153    51   100     3    93.8    85.5     8.3   24.52   83.35    9.41    0.00   17.07   24.52   69.42   34.80    0.00    5.73     3.7     3.3    4.12    4.97    5.74    6.22    6.50    6.68    1.89    0.42    0.44    0.38    0.41    0.38    0.28    0.21    0.18    7.61    4.17    3.73    4.51    5.38    6.12    6.50    6.71    6.86
 2015 154    52   100     3    92.0    84.3     7.7   25.05   84.17    9.41    0.00   17.17   25.05   71.66   34.80    0.00    5.51     3.5     3.1    4.03    4.97    5.80    6.27    6.53    6.70    1.63    0.44    0.44    0.35    0.37    0.34    0.26    0.21    0.18    7.14    3.93    3.51    4.39    5.35    6.14    6.53    6.73    6.88
 2015 155    53   100     3    90.0    83.1     6.9   25.59   85.06    9.41    0.00   17.25   25.59   74.14   34.80    0.00    5.20     3.2     3.0    3.97    4.98    5.83    6.28    6.53    6.70    1.33    0.46    0.41    0.33    0.34    0.32    0.25    0.20    0.18    6.53    3.66    3.37    4.29    5.32    6.15    6.53    6.73    6.88
 2015 156    54   100     3    87.9    81.9     6.0   26.13   86.14    9.41    0.00   17.33   26.13   76.69   34.80    0.00    3.87     3.4     3.3    4.04    5.02    5.86    6.29    6.53    6.69    0.95    0.42    0.38    0.31    0.32    0.29    0.23    0.20    0.18    4.83    3.78    3.69    4.34    5.34    6.16    6.53    6.73    6.87
 2015 157    55   100     3    87.2    81.3     5.9   26.64   86.63    9.41    0.00   17.41   26.64   77.41   35.18    0.00    3.83     3.2     3.2    3.85    4.93    5.88    6.36    6.62    6.79    0.89    0.45    0.40    0.32    0.30    0.28    0.23    0.19    0.18    4.72    3.66    3.60    4.17    5.23    6.16    6.58    6.81    6.97
 2015 158    56   100     3    85.9    80.2     5.7   27.17   87.15    9.41    0.00   17.49   27.17   78.87   35.45    0.00    3.70     3.0     3.1    3.72    4.88    5.89    6.38    6.64    6.81    0.77    0.46    0.42    0.33    0.28    0.26    0.22    0.19    0.18    4.47    3.47    3.47    4.05    5.17    6.15    6.60    6.83    6.99
 2015 159    57   100     3    84.3    78.9     5.4   27.68   87.73    9.41    0.00   17.56   27.68   80.94   35.45    0.00    3.44     2.7     2.9    3.64    4.88    5.93    6.40    6.63    6.80    0.63    0.48    0.43    0.31    0.27    0.25    0.21    0.19    0.18    4.07    3.21    3.31    3.96    5.15    6.18    6.61    6.82    6.98
 2015 160    58   100     3    82.6    77.7     4.9   28.20   88.47    9.41    0.00   17.63   28.20   83.12   35.45    0.00    2.27     2.6     2.9    3.88    5.06    6.02    6.43    6.63    6.79    0.45    0.44    0.44    0.29    0.25    0.24    0.21    0.19    0.18    2.72    3.02    3.37    4.17    5.31    6.26    6.64    6.82    6.97
 2015 161    59   100     3    81.4    76.3     5.0   28.70   88.77    9.45    0.00   17.71   28.70   83.44   36.70    0.00    2.28     2.5     2.8    3.72    4.83    5.85    6.40    6.69    6.87    0.42    0.46    0.46    0.31    0.27    0.25    0.20    0.19    0.18    2.70    2.93    3.26    4.04    5.10    6.10    6.60    6.87    7.05
 2015 162    60   100     3    80.2    75.0     5.1   29.22   89.11    9.47    0.00   17.76   29.22   84.19   37.59    0.00    2.20     2.3     2.7    3.59    4.68    5.75    6.38    6.69    6.89    0.41    0.48    0.47    0.33    0.29    0.26    0.20    0.19    0.18    2.61    2.81    3.15    3.92    4.97    6.02    6.58    6.88    7.07
 2015 163    61   100     3    79.4    74.3     5.1   29.73   89.55    9.48    0.00   17.84   29.73   85.40   37.59    0.00    1.50     2.0     2.6    3.60    4.87    6.04    6.49    6.72    6.88    0.38    0.50    0.48    0.35    0.30    0.25    0.20    0.18    0.18    1.88    2.52    3.10    3.94    5.17    6.29    6.69    6.91    7.06
 2015 164    62   100     3    77.5    72.2     5.3   30.22   89.80    9.51    0.00   17.90   30.22   85.59   39.67    0.00    1.51     1.9     2.5    3.44    4.61    5.74    6.32    6.67    6.89    0.36    0.52    0.50    0.37    0.32    0.27    0.21    0.18    0.18    1.87    2.46    2.99    3.80    4.93    6.01    6.53    6.86    7.07
 2015 165    63   100     3    76.1    70.7     5.4   30.73   90.11    9.62    0.00   17.97   30.73   86.20   40.82    0.00    1.49     1.8     2.4    3.31    4.43    5.57    6.22    6.66    6.90    0.34    0.52    0.51    0.38    0.34    0.28    0.23    0.18    0.18    1.83    2.36    2.89    3.69    4.77    5.85    6.45    6.84    7.08
 2015 166    64   100     3    75.1    69.7     5.4   31.25   90.51    9.66    0.00   18.05   31.25   87.17   41.24    0.00    1.43     1.7     2.3    3.22    4.33    5.49    6.21    6.66    6.92    0.31    0.51    0.51    0.39    0.35    0.30    0.22    0.18    0.18    1.75    2.23    2.78    3.61    4.68    5.78    6.43    6.85    7.10
 2015 167    65   100     3    74.4    69.1     5.2   31.78   91.10    9.68    0.00   18.12   31.78   88.32   41.24    0.00    1.23     1.7     2.2    3.17    4.30    5.50    6.24    6.66    6.91    0.26    0.46    0.51    0.40    0.36    0.31    0.21    0.18    0.18    1.49    2.18    2.72    3.57    4.66    5.80    6.45    6.84    7.09
 2015 168    66   100     3    73.7    68.4     5.3   32.30   91.48    9.70    0.00   18.19   32.30   88.89   41.83    0.00    1.25     1.7     2.1    3.05    4.19    5.41    6.22    6.69    6.96    0.25    0.48    0.51    0.41    0.37    0.32    0.21    0.18    0.18    1.49    2.14    2.60    3.46    4.56    5.72    6.43    6.87    7.14
 2015 169    67   100     3    73.1    67.8     5.3   32.82   91.90    9.70    0.00   18.25   32.82   89.68   42.07    0.00    1.24     1.6     2.0    2.96    4.14    5.37    6.23    6.71    6.98    0.23    0.50    0.50    0.42    0.38    0.32    0.20    0.18    0.18    1.47    2.07    2.49    3.38    4.52    5.69    6.43    6.89    7.16
 2015 170    68   100     3    72.6    67.6     5.0   33.35   92.62    9.70    0.00   18.33   33.35   90.56   42.07    0.00    1.21     1.5     2.0    2.97    4.17    5.40    6.23    6.70    6.97    0.21    0.51    0.46    0.38    0.35    0.30    0.20    0.18    0.18    1.43    1.99    2.42    3.35    4.52    5.71    6.43    6.88    7.14
 2015 171    69   100     3    72.4    67.7     4.7   33.87   93.40    9.70    0.00   18.42   33.87   91.21   42.07    0.00    1.21     1.5     2.0    2.99    4.21    5.43    6.23    6.68    6.95    0.19    0.46    0.42    0.35    0.32    0.28    0.20    0.18    0.18    1.40    1.95    2.39    3.34    4.53    5.72    6.42    6.86    7.13
 2015 172    70   100     3    72.5    68.1     4.4   34.38   94.12    9.70    0.00   18.49   34.38   91.57   42.07    0.00    1.16     1.6     2.0    3.04    4.25    5.46    6.22    6.67    6.93    0.15    0.43    0.39    0.33    0.30    0.27    0.19    0.18    0.18    1.31    2.01    2.44    3.37    4.55    5.72    6.42    6.85    7.11
 2015 173    71   100     3    72.7    68.4     4.3   34.87   94.65    9.70    0.00   18.56   34.87   91.78   42.07    0.00    1.20     1.5     2.1    3.09    4.34    5.53    6.22    6.65    6.91    0.14    0.45    0.37    0.31    0.29    0.25    0.19    0.18    0.18    1.34    2.00    2.43    3.40    4.62    5.78    6.41    6.83    7.09
