*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                   0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2015 148    46    45    9.7      5  1.456    701    895     93    211   1595   1818    611    15.2  0.051    223    132  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.96  41.70   0.12      0    223  207.9   0.70   0.45   22.6   0.50    0.68    0.55    0.41    0.19    0.06    0.00    0.00    0.00    0.00      277      82
 2015 149    47    46    9.7      5  1.440    690    885    144    208   1575   1898    696    20.6  0.076    323    150  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.95  44.52   0.17      0    323  208.7   0.72   0.45   21.7   0.50    0.67    0.54    0.40    0.19    0.06    0.00    0.00    0.00    0.00      285      86
 2015 150    48    47    9.7      5  1.417    676    873    202    204   1549   1980    698    29.0  0.102    431    150  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.92  46.93   0.22      0    431  209.5   0.72   0.45   20.8   0.50    0.66    0.53    0.39    0.19    0.06    0.00    0.00    0.00    0.00      294      91
 2015 151    49    48    9.7      5  1.394    662    861    262    201   1524   2064    698    37.5  0.127    540    150  0.000  0.280  0.000  0.000  0.000  0.000  0.000    3.90  48.42   0.26      0    540  210.4   0.72   0.45   20.0   0.50    0.65    0.52    0.39    0.18    0.06    0.00    0.00    0.00    0.00      304      95
 2015 152    50    49    9.7      5  1.364    647    851    322    197   1498   2133    698    46.1  0.151    636    150  0.141  0.427  0.000  0.000  0.000  0.000  0.000    3.85  50.65   0.30      0    636  211.0   0.72   0.45   19.9   0.50    0.64    0.51    0.38    0.18    0.06    0.00    0.00    0.00    0.00      315      99
 2015 153    51    50    9.7      5  1.333    628    836    387    192   1465   2214    698    55.5  0.175    749    150  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.81  51.63   0.34      0    749  212.1   0.72   0.45   19.9   0.50    0.63    0.50    0.37    0.18    0.06    0.00    0.00    0.00    0.00      327     102
 2015 154    52    51    9.7      5  1.302    611    822    452    188   1433   2291    698    64.8  0.197    859    150  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.76  52.60   0.37      0    859  213.2   0.72   0.45   19.1   0.50    0.61    0.49    0.37    0.17    0.06    0.00    0.00    0.00    0.00      339     107
 2015 155    53    52    9.7      5  1.272    594    808    516    184   1402   2368    787    65.6  0.218    966    170  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.71  53.43   0.41      0    966  214.3   0.72   0.45   18.4   0.50    0.60    0.48    0.36    0.17    0.06    0.00    0.00    0.00    0.00      353     111
 2015 156    54    53    9.7      5  1.216    571    812    589    181   1383   2441    787    74.9  0.241   1059    170  0.000  0.185  0.000  0.000  0.000  0.000  0.000    3.62  55.63   0.43      0   1059  213.1   0.72   0.45   19.8   0.50    0.59    0.48    0.35    0.17    0.05    0.00    0.00    0.00    0.00      380     114
 2015 157    55    54    9.7      5  1.187    555    799    660    177   1353   2515    921    71.7  0.263   1161    198  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.57  56.86   0.46      0   1161  214.1   0.72   0.45   19.8   0.50    0.58    0.47    0.35    0.17    0.05    0.00    0.00    0.00    0.00      392     118
 2015 158    56    55    9.7      5  1.159    538    784    746    173   1322   2590    921    81.0  0.288   1268    198  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.51  58.86   0.49      0   1268  215.4   0.72   0.45   19.8   0.50    0.57    0.46    0.34    0.16    0.05    0.00    0.00    0.00    0.00      403     121
 2015 159    57    56    9.7      5  1.132    522    771    830    170   1293   2661    992    83.7  0.312   1368    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.46  60.65   0.51      0   1368  216.7   0.72   0.45   19.2   0.50    0.56    0.45    0.33    0.16    0.05    0.00    0.00    0.00    0.00      414     125
 2015 160    58    57    9.7      5  1.105    513    780    918    167   1293   2747    992    92.6  0.334   1453    214  0.000  0.133  0.000  0.000  0.000  0.000  0.000    3.36  63.18   0.53      0   1453  215.3   0.72   0.45   20.1   0.50    0.55    0.44    0.33    0.16    0.05    0.00    0.00    0.00    0.00      424     128
 2015 161    59    58    9.7      5  1.079    498    766   1009    163   1263   2806    992   101.7  0.360   1543    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.30  65.41   0.55      0   1543  216.8   0.72   0.45   20.1   0.50    0.54    0.43    0.32    0.15    0.05    0.00    0.00    0.00    0.00      434     131
