pasta_saida,etapa,arquivo_origem,simulacao_escolhida,bnx_mais_importante,euclidiana,EMFL,FLSD,SDPM,bnx_train,euclidiana_treinamento,euclidiana_teste
EMEP1403_PREV3_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_poi_matern5_2,EMEP1403_PREV3_9.BNX,7.355397724530164,34.48,7.933,21.57,,,
EMEP1403_PREV4_5,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_exp,EMEP1403_PREV4_5.BNX,7.253208361432198,33.73,8.594,21.51,,,
EMEP1403_PREV4_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern3_2,EMEP1403_PREV4_6.BNX,7.235259981673663,33.18,7.675,21.89,,,
EMEP1403_PREV4_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_poi_matern5_2,EMEP1403_PREV4_8.BNX,0.9818816781165824,34.52,9.786,21.21,,,
EMEP1403_PREV4_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_matern5_2,EMEP1403_PREV4_9.BNX,7.584488959676906,34.48,6.775,24.13,,,
EMEP1403_PREV5_6,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_gauss,EMEP1403_PREV5_6.BNX,7.020324817990173,32.59,11.39,18.06,,,
EMEP1403_PREV5_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT300_ei_exp,EMEP1403_PREV5_8.BNX,0.980827299410922,33.82,11.18,18.89,,,
EMEP1403_PREV5_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_matern5_2,EMEP1403_PREV5_9.BNX,7.271767654778114,33.76,12.62,18.38,,,
EMEP1403_PREV6_8,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ei_matern5_2,EMEP1403_PREV6_8.BNX,0.949209581044891,33.35,11.26,18.33,,,
EMEP1403_PREV6_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_ucb_gauss,EMEP1403_PREV6_9.BNX,7.250829240152389,33.18,12.63,18.05,,,
EMEP1403_PREV8_9,GLUE,melhor_configuracao_GLUE.csv,IP100_IT100_poi_matern5_2,EMEP1403_PREV8_9.BNX,1.012140889898015,34.51,12.78,17.61,,,
