*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2016 152    21   0.002    0.00       5    0.00
 2016 153    22   0.002    0.00       6    0.00
 2016 154    23   0.003    0.00       8    0.00
 2016 155    24   0.003    0.00      10    0.00
 2016 156    25   0.004    0.00      12    0.00
 2016 157    26   0.004    0.00      14    0.00
 2016 158    27   0.005    0.00      15    0.00
 2016 159    28   0.006    0.00      19    0.00
 2016 160    29   0.013    0.00      42    0.00
 2016 161    30   0.017    0.00      54    0.01
 2016 162    31   0.023    0.00      73    0.01
 2016 163    32   0.030    0.00      94    0.01
 2016 164    33   0.035    0.00     110    0.02
 2016 165    34   0.043    0.00     136    0.02
 2016 166    35   0.050    0.00     161    0.02
 2016 167    36   0.055    0.00     176    0.03
 2016 168    37   0.061    0.00     196    0.03
 2016 169    38   0.066    0.00     214    0.03
 2016 170    39   0.068    0.00     221    0.03
 2016 171    40   0.076    0.00     246    0.03
 2016 172    41   0.078    0.00     253    0.04
 2016 173    42   0.083    0.01     272    0.03
 2016 174    43   0.089    0.01     292    0.04
 2016 175    44   0.095    0.01     312    0.04
 2016 176    45   0.104    0.01     342    0.04
 2016 177    46   0.106    0.01     350    0.04
 2016 178    47   0.114    0.01     378    0.04
 2016 179    48   0.115    0.01     383    0.04
 2016 180    49   0.118    0.01     393    0.04
 2016 181    50   0.123    0.01     410    0.03
 2016 182    51   0.132    0.01     441    0.03
 2016 183    52   0.135    0.01     452    0.04
 2016 184    53   0.140    0.02     471    0.03
 2016 185    54   0.146    0.02     493    0.03
 2016 186    55   0.152    0.02     514    0.03
 2016 187    56   0.158    0.02     539    0.03
 2016 188    57   0.167    0.02     573    0.03
 2016 189    58   0.174    0.03     599    0.04
 2016 190    59   0.178    0.03     614    0.03
 2016 191    60   0.186    0.03     645    0.03
 2016 192    61   0.196    0.03     681    0.03
 2016 193    62   0.205    0.04     716    0.03
 2016 194    63   0.214    0.04     752    0.04
 2016 195    64   0.221    0.04     779    0.04
 2016 196    65   0.225    0.04     798    0.03
 2016 197    66   0.232    0.05     823    0.03
 2016 198    67   0.238    0.05     849    0.03
 2016 199    68   0.244    0.05     873    0.03
 2016 200    69   0.247    0.05     887    0.03
 2016 201    70   0.250    0.06     898    0.02
 2016 202    71   0.254    0.06     914    0.02
 2016 203    72   0.257    0.06     926    0.02
 2016 204    73   0.261    0.06     944    0.02
 2016 205    74   0.264    0.06     960    0.02
 2016 206    75   0.267    0.07     970    0.02
 2016 207    76   0.270    0.07     983    0.01
 2016 208    77   0.274    0.07     999    0.01
 2016 209    78   0.276    0.07    1010    0.01
 2016 210    79   0.279    0.07    1023    0.01
 2016 211    80   0.282    0.07    1034    0.01
 2016 212    81   0.284    0.07    1042    0.01
 2016 213    82   0.324    0.10    1225    0.01
 2016 214    83   0.354    0.12    1365    0.04
 2016 215    84   0.376    0.14    1473    0.06
 2016 216    85   0.392    0.16    1555    0.06
 2016 217    86   0.404    0.17    1619    0.05
 2016 218    87   0.414    0.18    1669    0.05
 2016 219    88   0.421    0.19    1707    0.04
 2016 220    89   0.426    0.19    1736    0.03

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2016 153     0   0.000    0.00       0    0.00
 2016 154     1   0.000    0.00       0    0.00
 2016 155     2   0.000    0.00       0    0.00
 2016 156     3   0.000    0.00       0    0.00
 2016 157     4   0.000    0.00       0    0.00
 2016 158     5   0.000    0.00       0    0.00
 2016 159     6   0.000    0.00       0    0.00
 2016 160     7   0.000    0.00       0    0.00
 2016 161     8   0.000    0.00       0    0.00
 2016 162     9   0.000    0.00       0    0.00
 2016 163    10   0.000    0.00       0    0.00
 2016 164    11   0.000    0.00       0    0.00
 2016 165    12   0.000    0.00       0    0.00
 2016 166    13   0.000    0.00       0    0.00
 2016 167    14   0.000    0.00       0    0.00
 2016 168    15   0.000    0.00       0    0.00
 2016 169    16   0.000    0.00       0    0.00
 2016 170    17   0.000    0.00       1    0.00
 2016 171    18   0.000    0.00       1    0.00
 2016 172    19   0.000    0.00       1    0.00
 2016 173    20   0.001    0.00       2    0.00
 2016 174    21   0.001    0.00       3    0.00
 2016 175    22   0.001    0.00       4    0.00
 2016 176    23   0.002    0.00       6    0.00
 2016 177    24   0.002    0.00       7    0.00
 2016 178    25   0.003    0.00       9    0.00
 2016 179    26   0.003    0.00      11    0.00
 2016 180    27   0.004    0.00      13    0.00
 2016 181    28   0.005    0.00      15    0.00
 2016 182    29   0.005    0.00      16    0.00
 2016 183    30   0.007    0.00      22    0.00
 2016 184    31   0.011    0.00      34    0.00
 2016 185    32   0.014    0.00      45    0.01
 2016 186    33   0.022    0.00      70    0.01
 2016 187    34   0.028    0.00      88    0.01
 2016 188    35   0.034    0.00     107    0.02
 2016 189    36   0.043    0.00     139    0.02
 2016 190    37   0.054    0.00     174    0.02
 2016 191    38   0.059    0.00     189    0.03
 2016 192    39   0.061    0.00     197    0.03
 2016 193    40   0.069    0.00     224    0.03
 2016 194    41   0.074    0.00     241    0.03
 2016 195    42   0.076    0.00     248    0.04
 2016 196    43   0.083    0.01     271    0.03
 2016 197    44   0.092    0.01     302    0.04
 2016 198    45   0.095    0.01     312    0.04
 2016 199    46   0.101    0.01     332    0.04
 2016 200    47   0.107    0.01     355    0.04
 2016 201    48   0.113    0.01     375    0.04
 2016 202    49   0.121    0.01     405    0.04
 2016 203    50   0.122    0.01     406    0.04
 2016 204    51   0.127    0.01     425    0.04
 2016 205    52   0.137    0.01     459    0.04
 2016 206    53   0.142    0.02     479    0.04
 2016 207    54   0.144    0.02     487    0.04
 2016 208    55   0.149    0.02     505    0.03
 2016 209    56   0.155    0.02     526    0.03
 2016 210    57   0.161    0.02     547    0.03
 2016 211    58   0.167    0.02     569    0.03
 2016 212    59   0.175    0.03     601    0.03
 2016 213    60   0.185    0.03     638    0.03
 2016 214    61   0.191    0.03     662    0.04
 2016 215    62   0.199    0.03     694    0.03
 2016 216    63   0.205    0.04     716    0.03
 2016 217    64   0.212    0.04     746    0.03
 2016 218    65   0.222    0.04     784    0.03
 2016 219    66   0.228    0.05     807    0.03
 2016 220    67   0.234    0.05     834    0.03
 2016 221    68   0.240    0.05     856    0.03
 2016 222    69   0.245    0.05     880    0.03
 2016 223    70   0.249    0.06     895    0.03
 2016 224    71   0.253    0.06     913    0.02
 2016 225    72   0.256    0.06     926    0.02
 2016 226    73   0.259    0.06     939    0.02
 2016 227    74   0.262    0.06     951    0.02
 2016 228    75   0.265    0.06     963    0.02
 2016 229    76   0.268    0.07     975    0.37
 2016 230    77   0.270    0.07     984    0.29
 2016 231    78   0.272    0.07     993    0.23
 2016 232    79   0.274    0.07    1002    0.18
 2016 233    80   0.276    0.07    1010    0.14
 2016 234    81   0.278    0.07    1019    0.11
 2016 235    82   0.322    0.10    1213    0.08
 2016 236    83   0.353    0.12    1362    0.10
 2016 237    84   0.377    0.14    1478    0.10
 2016 238    85   0.395    0.16    1569    0.09
 2016 239    86   0.409    0.18    1642    0.08
 2016 240    87   0.420    0.19    1701    0.63
 2016 241    88   0.428    0.20    1747    0.45
 2016 242    89   0.435    0.20    1784    0.29

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2017 107     0   0.000    0.00       0    0.00
 2017 108     1   0.000    0.00       0    0.00
 2017 109     2   0.000    0.00       0    0.00
 2017 110     3   0.000    0.00       0    0.00
 2017 111     4   0.000    0.00       0    0.00
 2017 112     5   0.000    0.00       0    0.00
 2017 113     6   0.000    0.00       0    0.00
 2017 114     7   0.000    0.00       0    0.00
 2017 115     8   0.000    0.00       0    0.00
 2017 116     9   0.000    0.00       0    0.00
 2017 117    10   0.000    0.00       0    0.00
 2017 118    11   0.000    0.00       0    0.00
 2017 119    12   0.000    0.00       0    0.00
 2017 120    13   0.000    0.00       0    0.00
 2017 121    14   0.000    0.00       0    0.00
 2017 122    15   0.000    0.00       0    0.00
 2017 123    16   0.000    0.00       1    0.00
 2017 124    17   0.000    0.00       1    0.00
 2017 125    18   0.000    0.00       1    0.00
 2017 126    19   0.001    0.00       2    0.00
 2017 127    20   0.001    0.00       2    0.00
 2017 128    21   0.001    0.00       3    0.00
 2017 129    22   0.001    0.00       4    0.00
 2017 130    23   0.001    0.00       4    0.00
 2017 131    24   0.001    0.00       4    0.00
 2017 132    25   0.001    0.00       4    0.00
 2017 133    26   0.002    0.00       6    0.00
 2017 134    27   0.003    0.00       8    0.00
 2017 135    28   0.003    0.00      10    0.00
 2017 136    29   0.006    0.00      18    0.00
 2017 137    30   0.011    0.00      35    0.01
 2017 138    31   0.016    0.00      49    0.01
 2017 139    32   0.020    0.00      63    0.02
 2017 140    33   0.026    0.00      83    0.02
 2017 141    34   0.030    0.00      95    0.03
 2017 142    35   0.036    0.00     115    0.03
 2017 143    36   0.047    0.00     149    0.03
 2017 144    37   0.051    0.00     165    0.04
